"predictor","agg","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B3_glcm_contrast","agg1",1,0.333333333333333,0.333333333333333,3,1.30892052638489,1.19456522514056,1,-0.353522580645161,-0.353522580645161,1,-4.5113,-4.5113
"B3_glcm_contrast","agg2",0.666666666666667,0,0.333333333333333,2,10.059816359631,10.059816359631,0,NA,NA,1,2.9803,2.9803
"B3_glcm_contrast","agg4",0.666666666666667,0,0.333333333333333,2,21.626066359631,21.626066359631,0,NA,NA,1,14.918,14.918
"B3_glcm_dissimilarity","agg1",0.333333333333333,1,0.333333333333333,1,-4.65127114010737,-4.65127114010737,3,-2.79427419354839,-2.5805,1,0.6374,0.6374
"B3_glcm_dissimilarity","agg2",0.333333333333333,1,0.333333333333333,1,-5.76527114010737,-5.76527114010737,3,-3.34117419354839,-3.1349,1,0.6651,0.6651
"B3_glcm_dissimilarity","agg4",0.333333333333333,1,0.333333333333333,1,-5.20827114010737,-5.20827114010737,3,-2.76334086021505,-2.5,1,1.2067,1.2067
"B3_glcm_entropy","agg1",0.333333333333333,1,0.333333333333333,1,-6.87617114010737,-6.87617114010737,3,-4.34280752688172,-4.0637,1,-0.3001,-0.3001
"B3_glcm_entropy","agg2",0.333333333333333,1,0.333333333333333,1,-7.11657114010737,-7.11657114010737,3,-4.49534086021505,-4.3301,1,-0.2509,-0.2509
"B3_glcm_entropy","agg4",0.333333333333333,1,0.333333333333333,1,-5.46117114010737,-5.46117114010737,3,-3.52737419354839,-3.4817,1,0.1492,0.1492
"B3_glcm_homogeneity","agg1",0.333333333333333,1,0.333333333333333,1,-7.55077114010737,-7.55077114010737,3,-4.60014086021505,-4.4384,1,-0.0228000000000002,-0.0228000000000002
"B3_glcm_homogeneity","agg2",0.333333333333333,1,0.333333333333333,1,-6.07247114010737,-6.07247114010737,3,-3.65530752688172,-3.6811,1,0.5761,0.5761
"B3_glcm_homogeneity","agg4",0.333333333333333,1,0.333333333333333,1,-3.10047114010737,-3.10047114010737,3,-2.01027419354839,-2.196,1,1.0541,1.0541
"B4_CV","agg1",0.333333333333333,1,0.333333333333333,1,-2.26457114010737,-2.26457114010737,3,-4.30530752688172,-4.4537,1,-2.6412,-2.6412
"B4_CV","agg2",0.333333333333333,1,0.333333333333333,1,-1.92617114010737,-1.92617114010737,3,-3.89784086021505,-4.2833,1,-2.4708,-2.4708
"B4_CV","agg4",0.333333333333333,1,0.333333333333333,1,-1.36437114010737,-1.36437114010737,3,-3.13377419354839,-3.3402,1,-1.5277,-1.5277
"B4_RaoQ_w3","agg1",0.333333333333333,1,0.333333333333333,1,-2.54907114010737,-2.54907114010737,3,-2.87857419354839,-2.52502258064516,1,-0.3117,-0.3117
"B4_RaoQ_w3","agg2",0.333333333333333,1,0.333333333333333,1,-2.60537114010737,-2.60537114010737,3,-2.98864086021505,-2.58132258064516,1,-0.3056,-0.3056
"B4_RaoQ_w3","agg4",0.333333333333333,1,0.333333333333333,1,-2.15487114010737,-2.15487114010737,3,-2.05194086021505,-2.13082258064516,1,1.1943,1.1943
"B4_RaoQ_w5","agg1",0.333333333333333,1,0.333333333333333,1,-3.60097114010737,-3.60097114010737,3,-3.97580752688172,-3.57692258064516,1,-1.6276,-1.6276
